[INFO] 13:14:28:12 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:14:33:16 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:14:38:16 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:14:40:26 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:45:29 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:50:32 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:14:55:32 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:14:57:42 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:02:44 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:07:47 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:12:48 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:15:14:58 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:15:19:61 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:15:24:63 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:15:29:64 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:15:31:74 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:36:77 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:41:80 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:15:46:80 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:15:48:90 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:15:53:92 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:15:58:96 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:16:03:97 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:16:05:117 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:10:119 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:15:122 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:20:123 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:16:22:130 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:16:27:132 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:16:32:135 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:16:37:136 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:16:39:146 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:44:149 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:49:152 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:16:54:152 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:16:56:166 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:17:01:169 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:17:06:172 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:17:11:173 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:17:13:182 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:18:184 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:23:187 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:28:188 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:17:30:210 CPU/(29037:29038): Instruccion: FINALIZAR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:17:35:213 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:40:215 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:45:218 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:50:218 CPU/(29037:29038): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:17:52:222 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:17:57:224 CPU/(29037:29038): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:18:39:749 CPU/(29189:29190): CPU conectada al Planificador, idCpu: 0
[INFO] 13:18:39:772 CPU/(29189:29190): CPU conectada a Memoria, idCpu: 0
[INFO] 13:18:48:128 CPU/(29189:29190): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:18:53:160 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:18:55:171 CPU/(29189:29190): Instruccion: INICIAR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:19:00:172 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 2, CPU: 0, exito: 1 
[INFO] 13:19:02:184 CPU/(29189:29190): Instruccion: INICIAR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:19:07:185 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:19:09:329 CPU/(29189:29190): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:19:14:330 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
